'FogartyAffinity.transmit_simplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'FogartyAffinity.normalizer_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'FogartyAffinity.step_recursions' depends on axioms: [propext, Classical.choice, Quot.sound]
'FogartyAffinity.source_preserves_simplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'FogartyAffinity.step_preserves_simplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'FogartyAffinity.p_drift_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'FogartyAffinity.p_drift' depends on axioms: [propext, Classical.choice, Quot.sound]
'FogartyAffinity.no_polymorphic_fixed_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'FogartyAffinity.step_not_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
